# itemType	cardsubtypeid	resourceId	rating	rare	attr	amount	posbonus	fieldpos	name
physio	6	4000005	66	0	5	5	0	0	H Dent
physio	6	4000006	74	1	5	10	0	0	M  Hood
physio	6	4000007	74	1	6	10	0	0	S Pang
physio	6	4000008	55	0	3	5	0	0	D Yoo
physio	6	4000009	64	1	0	5	0	0	C Bailey
physio	6	4000010	55	0	1	5	0	0	P Jones
physio	6	4000011	64	1	2	5	0	0	J Bradford
physio	6	4000012	55	0	4	5	0	0	N Pandev
physio	6	4000013	74	1	2	10	0	0	P Newbury
physio	6	4000014	64	1	3	5	0	0	I Yeung
physio	6	4000015	74	1	4	10	0	0	P Beetham
physio	6	4000016	66	0	0	5	0	0	A Outing
physio	6	4000017	74	1	0	10	0	0	M  Pressley
physio	6	4000018	77	0	5	10	0	0	B Kilford
physio	6	4000019	74	1	3	10	0	0	M  Chen
physio	6	4000020	77	0	0	10	0	0	J Newton
physio	6	4000021	64	1	1	5	0	0	C Berry
physio	6	4000022	66	0	3	5	0	0	Y Santos
physio	6	4000023	74	1	1	10	0	0	A Patient
physio	6	4000024	64	1	4	5	0	0	L Hazell
physio	6	4000025	55	0	6	5	0	0	S Parkin
physio	6	4000026	77	0	3	10	0	0	D Bowen
physio	6	4000027	66	0	2	5	0	0	E  Cho
physio	6	4000028	77	0	4	10	0	0	J McCarthy
physio	6	4000029	66	0	4	5	0	0	S Bissel
physio	6	4000030	80	1	3	15	0	0	D Schneider
physio	6	4000031	80	1	0	15	0	0	L De Goosman
physio	6	4000032	77	0	2	10	0	0	V Jackson
physio	6	4000033	80	1	6	15	0	0	T Lee
physio	6	4000034	80	1	4	15	0	0	M  Cree
physio	6	4000035	55	0	0	5	0	0	J Farr
physio	6	4000036	66	0	1	5	0	0	L Carluccio
physio	6	4000037	77	0	6	10	0	0	J Kalinski
physio	6	4000038	77	0	1	10	0	0	C McKee
physio	6	4000039	80	1	1	15	0	0	D Crowe
physio	6	4000040	80	1	5	15	0	0	Y Blais
physio	6	4000041	80	1	2	15	0	0	S Slanski
physio	6	4000042	55	0	2	5	0	0	D Collomb
fitnessCoach	5	3000004	55	0	0	1	3	2	A Bachman
fitnessCoach	5	3000005	55	0	0	1	3	1	L Stewart
fitnessCoach	5	3000006	55	0	0	1	5	1	R Backgaard
fitnessCoach	5	3000007	55	0	0	1	4	2	F Baratta
fitnessCoach	5	3000008	55	0	0	1	3	1	T Behl
fitnessCoach	5	3000009	55	0	0	1	5	1	S Chang
fitnessCoach	5	3000010	64	1	0	2	4	2	J Bornn
fitnessCoach	5	3000011	77	0	0	3	5	3	S Koo
fitnessCoach	5	3000012	77	0	0	3	5	2	F Tsang
fitnessCoach	5	3000013	64	1	0	2	3	2	D Sawel
fitnessCoach	5	3000014	64	1	0	2	5	0	C Tenhaaf
fitnessCoach	5	3000015	64	1	0	2	6	3	S Yeo
fitnessCoach	5	3000016	64	1	0	2	6	2	D Vanderwolf
fitnessCoach	5	3000017	64	1	0	2	2	1	E  Finlay
fitnessCoach	5	3000018	77	0	0	3	4	1	T Shepherd
fitnessCoach	5	3000019	80	1	0	5	5	3	J Baerg
fitnessCoach	5	3000020	66	0	0	2	5	0	J Erickson
fitnessCoach	5	3000021	66	0	0	2	5	0	J Forsyth
fitnessCoach	5	3000022	66	0	0	2	1	0	D Klassen
fitnessCoach	5	3000023	66	0	0	2	7	0	B Kuhn
fitnessCoach	5	3000024	66	0	0	2	5	1	A DaCosta
fitnessCoach	5	3000025	66	0	0	2	2	3	F Dickenson
fitnessCoach	5	3000026	74	1	0	3	5	2	T Dutzi
fitnessCoach	5	3000027	74	1	0	3	3	0	M  Warkentin
fitnessCoach	5	3000028	74	1	0	3	5	0	D Edmondson
fitnessCoach	5	3000029	74	1	0	3	2	2	C Evans
fitnessCoach	5	3000030	74	1	0	3	5	2	C Belle
fitnessCoach	5	3000031	74	1	0	3	4	0	T Palmer
fitnessCoach	5	3000032	77	0	0	3	3	1	L Sakiani
fitnessCoach	5	3000033	77	0	0	3	1	0	S Thomson
fitnessCoach	5	3000034	77	0	0	3	1	2	A Adams
fitnessCoach	5	3000035	80	1	0	5	5	1	M  Arneill
fitnessCoach	5	3000036	80	1	0	5	5	3	D Graff
fitnessCoach	5	3000037	80	1	0	5	2	3	E  Lee
fitnessCoach	5	3000038	80	1	0	5	7	2	A Neufeld
fitnessCoach	5	3000039	80	1	0	5	1	1	R Lehman
